,loglikelihood,Non-Bias,Bias
insert,1.7360265776985448e-05,1,1
pic,0.2641689353073636,42,55
mouse,-2.6390399693494815,41,2
head,-1.0833274562715445,259,87
self,0.5753815051693387,17,31
search,-1.5214517792223663,86,18
fr,1.3863117213856675,2,11
round,-0.6744376872820159,52,26
desperate,0.6931645408257223,2,5
compare,-0.08699401672385292,11,10
fiction,1.7360265776985448e-05,1,1
somebody,1.704765452504202,1,10
motivate,0.4054824683739413,3,5
venezuela,0.10537787592360325,8,9
support,-0.5080210827191856,835,502
bet,0.044469122836610836,21,22
rap,-0.25129706801512924,8,6
comment,0.4984589248320459,64,106
section,-0.8823718199326968,28,11
whine,1.9459275093210902,0,6
pathetic,1.252780328761145,9,34
body,-0.9279694113715695,42,16
result,-0.26086651903127983,134,103
employee,-0.4231473249417884,170,111
windshield,-0.4054477478423875,2,1
ga,-1.011583551412703,10,3
bloodbath,1.3863117213856675,0,3
tease,-1.299265623864484,10,2
boring,0.5108429840317675,2,4
listen,-0.7798392193258941,300,137
golf,0.5978543610213973,10,19
baby,-1.6366331156932084,148,28
repeat,0.6931645408257223,6,13
drop,-1.3509376344088049,138,35
kill,-0.28766471218600403,91,68
map,-0.613087112620632,23,12
lag,-2.8331959837904392,16,0
stop,-0.41919730342549,475,312
asl,1.0986296489338867,0,2
part,-0.8674832074389464,299,125
wait,-1.067412000965645,220,75
toll,-2.944421618900664,37,1
help,-1.2237580713563387,1359,399
missile,1.7360265776985448e-05,16,16
min,-0.18922463937275144,28,23
post,-1.055577543318642,272,94
hit,-1.6326774143325908,173,33
button,-1.0985949284023329,14,4
captain,-2.0243644042310316,52,6
america,-0.4714911601593788,531,331
gop,1.1026376703314253,82,249
token,1.0986296489338867,0,2
stand,-0.029253022034336353,207,201
nonsensical,1.3863117213856675,0,3
v,-0.6510815840506688,162,84
sister,-1.5339129996601784,50,10
huck,0.6931645408257223,0,1
shot,-0.7576683414317396,31,14
scandal,-0.744423114681719,39,18
situation,-1.424991513034804,78,18
change,-0.7794141888911809,374,171
majority,-0.20970317071629208,110,89
american,-0.5338973122725785,1401,821
foolish,0.916308092139932,1,4
bw,1.7360265776985448e-05,2,2
politics,1.0038842813445203,58,160
usa,-0.6225122530802151,81,43
hello,-2.0243644042310316,52,6
fat,0.2682813468604563,25,33
shoot,0.3629228539551455,15,22
fraternity,1.3863117213856675,0,3
hearing,-1.0358565877689094,416,147
ew,0.6931645408257223,1,3
mexican,-1.1592195502187677,50,15
emotion,-1.3862770008541139,19,4
gay,-0.32156626386168546,39,28
dylan,-0.9808118927459494,7,2
chief,-0.7984903359519948,99,44
script,0.5596331482011996,3,6
bombing,-0.6225122530802151,40,21
country,-0.21280415297888694,505,408
ur,-0.18922463937275144,57,47
girlfriend,-1.2237580713563387,16,4
period,0.2647099144928591,32,42
please,-0.7441092579024516,502,238
history,-0.23324432121401745,148,117
steal,-0.9490631944313689,30,11
garland,-0.9162733716083782,4,1
carolina,-0.6268804347529677,72,38
root,-0.7239014789609222,32,15
absurdity,-0.9808118927459494,7,2
horse,-0.6931298202941684,3,1
play,-0.4519677634772804,131,83
remark,1.7360265776985448e-05,51,51
size,-1.3862770008541137,27,6
basketball,0.4054824683739413,7,11
foot,-0.5038878206556401,47,28
pro,-0.5520512220342629,32,18
ad,-0.8292619946187485,54,23
klan,1.7917768294938319,0,5
advantage,0.39205944804180054,24,36
generosity,1.7360265776985448e-05,2,2
offer,-0.854674249146365,180,76
islam,0.6664962937435609,18,36
lie,1.513311412146975,23,108
name,-1.3062342931805773,239,64
speech,-0.38905393806671107,120,81
swine,0.4054824683739413,1,2
hindu,2.2513091588722722,1,18
sentiment,1.7360265776985448e-05,6,6
reminder,-1.3621794492750534,81,20
water,-1.5098909568212904,171,37
case,-0.7216449906021897,248,120
blame,0.18806959176871646,28,34
attack,-0.028637895494599164,176,171
headquarters,-2.751517952776172,46,2
nra,1.7917768294938319,1,11
ufo,1.7360265776985448e-05,1,1
alien,-0.4699862689799586,15,9
religion,1.24173049257456,12,44
rascal,-0.15413331956148124,6,5
terrorism,0.22959180191027717,30,38
madness,-0.10534315539204935,9,8
seek,-1.8562806300998493,159,24
coach,0.4626408822138899,16,26
miserable,0.6931645408257221,4,9
fact,-0.4233053652423938,112,73
point,-0.5435980863232047,92,53
feel,-0.294990752278077,136,101
insult,2.708067561367987,1,29
intelligence,0.5780952110409352,22,40
recognition,-2.043056537243184,53,6
swim,0.4054824683739413,1,2
piece,0.01400360224051679,70,71
impediment,0.6931645408257223,0,1
grandfather,1.1786723566074229,3,12
f,0.7444578352132726,37,79
buying,-1.4552698723410653,29,6
training,-0.3757719796962708,82,56
bra,1.7360265776985448e-05,1,1
deal,-0.8924627229146597,248,101
cycle,-0.3364548763554359,6,4
mean,-0.8792320999280291,158,65
cop,0.5108429840317676,17,29
racism,1.6916933709368493,13,75
mine,-0.4054477478423875,20,13
iv,0.4054824683739413,3,5
speed,-1.6094205521683234,19,3
eye,-1.241695772043006,89,25
parent,-0.6256885394986358,128,68
ness,-0.9162733716083782,4,1
glass,-3.06803557486784,85,3
sharia,1.252780328761145,1,6
dance,-2.277249924743979,38,3
devil,1.0986296489338867,2,8
suit,-0.4769067118245324,28,17
tie,0.08702873725540657,10,11
decision,-0.3462588764520569,163,115
affect,-0.1823041965281778,53,44
faithful,1.0986296489338867,0,2
tee,1.0986296489338867,1,5
phone,-1.8107903039329725,158,25
bye,1.3863117213856675,2,11
cripple,-1.6094205521683234,9,1
ankle,1.7360265776985448e-05,1,1
essay,-1.3862770008541137,11,2
brag,1.5404624012129258,2,13
year,-0.613087112620632,1247,675
outcome,-0.9382522783271533,45,17
black,0.7404174256762678,92,194
white,0.6836857968711785,158,314
muslim,2.503273148721974,8,109
allah,-0.3364548763554359,6,4
bullshit,3.1355115761949266,0,22
rock,-1.6649904033231342,36,6
bobby,-1.5040600365104972,8,1
jersey,-1.326853580383313,48,12
nonsense,1.704765452504202,1,10
dj,1.7360265776763407e-05,4,4
fail,0.6472548395216443,77,148
nh,-1.0115835514127032,54,19
e,-0.6325051984777337,95,50
screen,-0.9808118927459494,31,11
hood,-0.3364548763554359,20,14
wash,0.287699432717558,8,11
hand,-0.4217082687141677,92,60
use,-0.009770646100385829,307,304
bathroom,0.4054824683739413,1,2
swoop,1.6094552726998774,1,9
regret,-0.5595984276696457,6,3
type,-0.8362306639348418,59,25
knock,1.7360265776985448e-05,5,5
pm,-0.8982548661056999,274,111
latino,-0.6931298202941686,9,4
coke,-0.5108082635002137,4,2
screw,1.3863117213856675,1,7
latin,-1.791742108962278,17,2
gas,-1.170915589981959,128,39
gene,-2.1972072170704426,26,2
step,-0.6802264154582606,230,116
si,1.6094552726998774,3,19
care,-0.2118266357944996,659,533
push,-0.28766471218600415,87,65
spawn,1.6094552726998774,1,9
mate,-1.299265623864484,10,2
cap,-1.3172841293671622,55,14
flag,-1.106316974496243,129,42
hezbollah,-1.0985949284023326,8,2
